Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
64	630	1305	2055	2850	3630	4320	4995	5505	5925	6735	7140	7290	2069.679199	2082.945801	
65	615	1305	2055	2850	3615	4305	4995	5490	5925	6735	7125	7275	2069.037598	2085.683350	
66	630	1305	2055	2850	3615	4320	4995	5505	5925	6735	7140	7290	2069.616699	2078.250000	
67	615	1305	2040	2850	3615	4305	4980	5490	5910	6720	7125	7275	2071.633301	2081.654053	
68	630	1305	2055	2850	3630	4305	4995	5505	5925	6735	7125	7290	2067.954102	2081.212402	
69	630	1320	2055	2865	3630	4305	4995	5490	5925	6735	7125	7275	2067.862549	2073.237549	
70	615	1305	2055	2850	3615	4290	4980	5490	5910	6720	7125	7275	2066.187500	2075.154053	
71	615	1290	2040	2820	3600	4290	4965	5475	5895	6705	7110	7260	2067.712402	2072.375000	
72	630	1305	2040	2835	3615	4290	4980	5475	5895	6720	7110	7260	2065.616699	2072.399902	
73	615	1305	2040	2835	3600	4290	4965	5475	5895	6705	7110	7260	2063.845947	2069.383301	
74	615	1305	2055	2850	3615	4290	4965	5475	5910	6705	7110	7275	2065.824951	2071.066650	
75	630	1305	2055	2850	3600	4290	4965	5475	5895	6705	7110	7260	2064.533447	2075.995850	
76	615	1305	2040	2820	3600	4275	4965	5460	5895	6690	7110	7260	2066.170898	2068.266602	
77	615	1305	2040	2835	3600	4275	4965	5460	5895	6690	7110	7260	2062.641602	2073.083252	
78	630	1290	2040	2835	3600	4275	4950	5460	5880	6675	7095	7245	2062.104248	2069.008301	
79	615	1305	2040	2820	3585	4275	4950	5460	5880	6690	7095	7245	2060.625000	2066.600098	
80	630	1305	2040	2835	3585	4275	4950	5460	5880	6675	7110	7260	2064.645752	2066.866699	
81	630	1320	2040	2850	3600	4275	4950	5475	5895	6690	7110	7260	2062.991699	2077.470947	
82	630	1305	2055	2820	3600	4275	4950	5460	5895	6675	7110	7260	2060.708252	2069.829102	
83	615	1305	2040	2835	3585	4260	4935	5445	5880	6660	7095	7245	2059.183350	2067.954102	
84	615	1305	2040	2805	3570	4260	4935	5445	5865	6660	7080	7245	2044.329224	2047.808350	
85	615	1290	2025	2820	3585	4260	4935	5445	5880	6660	7095	7245	2045.616699	2047.008301	
86	615	1290	2025	2805	3570	4245	4935	5445	5865	6660	7080	7230	2042.275024	2051.129150	
87	615	1290	2025	2820	3570	4245	4935	5445	5865	6660	7080	7230	2042.266724	2054.729248	
88	615	1305	2040	2820	3570	4245	4935	5445	5865	6645	7080	7245	2046.612549	2052.754150	
89	615	1290	2010	2805	3555	4230	4920	5415	5850	6630	7065	7215	2040.562500	2056.529053	
90	630	1305	2025	2805	3570	4245	4920	5430	5865	6645	7080	7230	2041.954224	2046.220825	
91	615	1290	2025	2805	3570	4230	4920	5430	5850	6630	7080	7230	2040.699951	2052.320801	
92	615	1305	2025	2805	3555	4230	4905	5430	5850	6630	7065	7230	2038.762451	2049.616699	
93	615	1290	2025	2805	3555	4230	4905	5415	5850	6615	7065	7215	2036.695801	2046.762451	
94	615	1305	2025	2805	3570	4230	4905	5430	5850	6630	7065	7230	2039.208374	2042.558350	
95	615	1290	2025	2820	3555	4245	4920	5430	5850	6630	7065	7230	2038.995850	2045.324951	
96	630	1305	2025	2805	3570	4245	4920	5430	5850	6630	7080	7230	2037.145874	2047.045776	
97	600	1290	2010	2790	3555	4215	4890	5415	5835	6600	7050	7215	2037.304199	2043.254150	
98	615	1290	2010	2790	3555	4215	4905	5415	5835	6600	7050	7215	2037.324951	2043.650024	
99	600	1275	2010	2790	3540	4215	4890	5415	5835	6600	7050	7215	2035.158325	2045.704224	
100	630	1290	2025	2790	3555	4230	4905	5415	5835	6600	7065	7215	2033.574951	2039.291626	
101	600	1275	2010	2775	3540	4215	4890	5400	5820	6585	7050	7200	2035.016724	2042.987549	
102	615	1290	2010	2790	3555	4215	4890	5415	5835	6600	7050	7215	2037.645874	2047.195801	
103	615	1290	2010	2790	3540	4215	4890	5400	5820	6585	7050	7215	2034.112549	2044.679199	
104	615	1290	2010	2790	3555	4215	4890	5400	5835	6585	7050	7215	2033.412476	2040.237549	
105	615	1290	2010	2790	3540	4200	4890	5400	5820	6570	7050	7200	2016.341675	2021.324951	
106	615	1290	2025	2790	3540	4215	4890	5400	5820	6570	7050	7215	2017.058350	2016.137451	
107	615	1275	2010	2775	3525	4200	4875	5385	5820	6570	7035	7200	2015.216675	2024.533325	
108	615	1290	2025	2790	3540	4200	4890	5400	5820	6570	7050	7215	2015.187500	2022.120850	
