Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
1	615	1305	2100	2940	3840	4650	5340	5850	6270	7050	7455	7635	2102.783447	2139.104248	
2	600	1320	2070	2940	3825	4620	5325	5820	6240	7035	7425	7590	2106.387451	2120.104248	
3	630	1335	2100	2955	3885	4620	5325	5820	6240	7035	7425	7575	2104.508301	2113.212402	
4	630	1335	2115	2940	3855	4605	5280	5790	6210	7020	7410	7545	2102.645752	2119.216553	
5	600	1305	2070	2955	3795	4575	5250	5760	6180	6990	7365	7515	2102.120850	2114.791748	
6	630	1335	2085	2925	3810	4575	5250	5760	6180	7005	7365	7515	2098.437500	2108.762451	
7	645	1335	2085	2970	3810	4575	5265	5745	6165	6990	7365	7515	2101.154053	2108.779053	
8	630	1305	2100	2955	3795	4560	5235	5730	6150	6990	7350	7485	2100.258301	2112.204102	
9	630	1350	2130	2955	3825	4590	5265	5745	6165	7005	7365	7515	2096.354248	2116.337402	
10	630	1320	2100	2955	3795	4560	5250	5745	6150	7005	7350	7485	2094.649902	2108.141602	
11	630	1320	2085	2940	3795	4530	5220	5715	6135	6960	7335	7470	2092.612549	2100.270752	
12	645	1335	2085	2970	3795	4515	5220	5715	6135	6975	7320	7470	2096.824951	2104.166748	
13	630	1335	2100	2940	3765	4515	5220	5685	6120	6960	7305	7455	2095.225098	2109.845947	
14	615	1305	2085	2925	3765	4530	5205	5685	6120	6945	7305	7440	2090.949951	2103.979248	
15	615	1335	2085	2940	3765	4500	5190	5670	6120	6960	7290	7425	2091.154053	2104.425049	
16	675	1350	2130	2940	3750	4485	5190	5685	6120	6945	7305	7440	2089.804199	2101.429199	
17	645	1320	2115	2925	3765	4485	5160	5655	6090	6915	7275	7410	2087.612549	2096.529053	
18	630	1335	2100	2925	3750	4515	5175	5670	6090	6915	7275	7425	2087.304199	2101.429199	
19	615	1305	2085	2925	3765	4500	5160	5655	6075	6885	7275	7410	2085.741699	2092.983398	
20	600	1290	2055	2895	3720	4440	5115	5610	6030	6870	7245	7380	2087.787598	2097.370850	
21	630	1305	2115	2910	3735	4455	5130	5625	6045	6900	7260	7395	2086.029053	2094.279053	
22	645	1335	2085	2925	3750	4485	5145	5640	6075	6900	7275	7425	2085.250000	2089.958252	
23	630	1320	2070	2910	3735	4440	5145	5640	6045	6885	7245	7395	2083.612549	2094.774902	
24	630	1335	2100	2910	3720	4440	5130	5655	6045	6900	7245	7395	2081.270752	2092.495850	
25	615	1320	2070	2895	3705	4440	5115	5610	6030	6870	7230	7380	2079.875000	2090.258301	
26	630	1305	2055	2880	3705	4410	5085	5580	6015	6825	7215	7350	2078.512451	2090.149902	
27	600	1290	2055	2895	3690	4410	5085	5580	5985	6825	7200	7335	2084.187500	2094.445801	
28	660	1350	2070	2910	3690	4425	5100	5595	6030	6855	7215	7365	2082.537598	2094.654053	
29	615	1335	2055	2910	3705	4410	5085	5580	6030	6840	7215	7365	2080.537598	2083.533447	
30	645	1335	2085	2925	3720	4425	5115	5595	6015	6840	7230	7365	2077.962402	2087.412598	
31	615	1290	2055	2865	3690	4395	5070	5580	5985	6840	7185	7335	2076.937500	2081.087402	
32	630	1320	2085	2910	3705	4410	5100	5595	6000	6825	7215	7350	2078.254150	2090.233398	
33	645	1320	2055	2880	3675	4380	5070	5565	5985	6810	7200	7335	2076.954102	2082.683350	
34	630	1320	2070	2910	3705	4395	5085	5565	6000	6825	7200	7350	2074.837402	2081.979248	
35	600	1305	2025	2850	3645	4365	5055	5550	5985	6780	7170	7320	2070.562500	2076.641602	
36	630	1305	2055	2880	3675	4395	5055	5565	6000	6810	7185	7335	2069.062500	2077.333252	
37	615	1320	2055	2895	3675	4380	5055	5550	5985	6780	7170	7320	2066.662598	2081.100098	
38	615	1290	2055	2880	3660	4365	5055	5535	5955	6780	7170	7320	2068.258301	2067.787598	
39	645	1320	2070	2895	3675	4380	5040	5550	5970	6780	7200	7335	2073.079102	2080.750000	
40	615	1305	2070	2865	3675	4365	5040	5565	5970	6810	7170	7320	2069.741699	2079.666748	
41	615	1305	2070	2850	3645	4350	5040	5535	5955	6780	7155	7305	2070.058350	2073.699951	
42	600	1275	2040	2850	3615	4305	5025	5505	5910	6735	7125	7275	2067.366699	2076.062500	
43	675	1320	2070	2880	3675	4365	5040	5550	5970	6765	7185	7320	2065.991699	2071.970947	
44	630	1320	2055	2895	3660	4350	5025	5520	5925	6750	7155	7290	2065.629150	2069.745850	
45	615	1290	2040	2850	3660	4305	5010	5505	5940	6765	7140	7290	2063.500000	2067.545898	
46	645	1320	2085	2865	3645	4350	5025	5520	5955	6765	7155	7290	2063.854248	2066.195801	
47	615	1305	2025	2850	3645	4305	4995	5505	5940	6705	7125	7260	2060.254150	2073.595947	
48	630	1305	2040	2835	3615	4305	4980	5490	5910	6705	7110	7275	2062.550049	2074.704102	
49	615	1290	2040	2880	3615	4305	4995	5475	5925	6705	7110	7260	2065.008301	2069.820801	
50	615	1320	2070	2835	3630	4320	4980	5490	5940	6705	7140	7275	2062.979248	2077.604248	
51	615	1320	2055	2850	3615	4290	4980	5490	5910	6705	7110	7275	2063.395752	2071.708252	
52	645	1290	2040	2835	3600	4290	4980	5505	5910	6720	7110	7275	2059.699951	2071.579102	
53	630	1320	2055	2850	3615	4290	4980	5490	5910	6705	7125	7275	2062.133301	2062.995850	
54	645	1305	2055	2835	3615	4305	4980	5475	5895	6690	7125	7260	2057.333252	2071.837402	
55	615	1290	2010	2835	3585	4275	4965	5475	5895	6690	7080	7245	2058.962402	2061.600098	
56	600	1275	2010	2820	3585	4290	4950	5445	5880	6675	7095	7245	2057.375000	2063.558350	
57	630	1320	2025	2820	3600	4290	4950	5460	5880	6660	7110	7260	2057.345947	2067.645752	
58	615	1320	2025	2820	3585	4260	4935	5445	5850	6645	7065	7230	2055.425049	2066.916748	
59	600	1275	2025	2805	3585	4260	4950	5460	5865	6675	7080	7230	2053.854248	2063.641602	
60	615	1290	2025	2820	3585	4260	4950	5460	5880	6660	7080	7245	2051.850098	2061.858398	
61	645	1320	2040	2820	3600	4275	4965	5460	5895	6660	7095	7245	2051.887451	2063.804199	
62	630	1320	2025	2835	3570	4275	4950	5445	5895	6660	7095	7245	2055.279053	2060.125000	
63	615	1320	2025	2820	3585	4260	4950	5475	5880	6660	7095	7260	2055.258301	2056.629150	
64	615	1290	2010	2775	3555	4230	4905	5415	5850	6630	7050	7215	2052.816650	2063.195801	
65	630	1305	2025	2820	3585	4260	4935	5430	5865	6645	7080	7230	2053.979248	2066.808350	
66	615	1320	2025	2820	3570	4260	4965	5460	5865	6630	7080	7230	2052.475098	2065.508301	
67	615	1275	2010	2790	3555	4245	4935	5430	5850	6645	7065	7230	2050.170898	2061.199951	
68	630	1290	2025	2805	3570	4275	4935	5445	5865	6645	7080	7230	2046.637451	2052.454102	
69	600	1275	1995	2820	3555	4230	4935	5415	5850	6600	7050	7215	2050.354248	2052.308350	
70	630	1290	2010	2805	3570	4260	4935	5415	5865	6615	7065	7215	2052.329102	2058.533447	
71	600	1290	2010	2790	3555	4230	4890	5415	5835	6600	7035	7200	2048.683350	2059.058350	
72	600	1290	2025	2790	3540	4215	4890	5400	5835	6585	7035	7200	2045.025024	2054.649902	
73	630	1290	2025	2820	3570	4245	4920	5430	5850	6600	7050	7215	2044.570801	2050.508301	
74	585	1275	2010	2775	3525	4200	4860	5370	5820	6540	7020	7170	2042.766724	2056.295898	
